op_name,kernel_source,num_tokens,hidden,inter,num_experts,topk,ep_size,num_local_experts,dtype,latency_us
moe_dispatch_combine,vllm_ascend_FusedMC2,2048,6144,2048,256,8,4,64,w8a8_dynamic,875.7908
moe_dispatch_combine,vllm_ascend_FusedMC2,3072,6144,2048,256,8,4,64,bf16,1095.1828
moe_dispatch_combine,vllm_ascend_FusedMC2,3072,6144,2048,256,8,4,64,w8a8_dynamic,1084.9888
moe_dispatch_combine,vllm_ascend_FusedMC2,4096,6144,2048,256,8,4,64,bf16,1335.6577
moe_dispatch_combine,vllm_ascend_FusedMC2,4096,6144,2048,256,8,4,64,w8a8_dynamic,1326.2556
moe_dispatch_combine,vllm_ascend_FusedMC2,1,6144,2048,256,8,8,32,bf16,508.4360
moe_dispatch_combine,vllm_ascend_FusedMC2,1,6144,2048,256,8,8,32,w8a8_dynamic,302.9876
moe_dispatch_combine,vllm_ascend_FusedMC2,2,6144,2048,256,8,8,32,bf16,888.2132
moe_dispatch_combine,vllm_ascend_FusedMC2,2,6144,2048,256,8,8,32,w8a8_dynamic,502.7496
moe_dispatch_combine,vllm_ascend_FusedMC2,3,6144,2048,256,8,8,32,bf16,1277.2880
moe_dispatch_combine,vllm_ascend_FusedMC2,3,6144,2048,256,8,8,32,w8a8_dynamic,694.4100
moe_dispatch_combine,vllm_ascend_FusedMC2,4,6144,2048,256,8,8,32,bf16,1622.8799
moe_dispatch_combine,vllm_ascend_FusedMC2,4,6144,2048,256,8,8,32,w8a8_dynamic,868.3076
moe_dispatch_combine,vllm_ascend_FusedMC2,6,6144,2048,256,8,8,32,bf16,1628.6385
moe_dispatch_combine,vllm_ascend_FusedMC2,6,6144,2048,256,8,8,32,w8a8_dynamic,865.6512
moe_dispatch_combine,vllm_ascend_FusedMC2,8,6144,2048,256,8,8,32,bf16,1625.9668
moe_dispatch_combine,vllm_ascend_FusedMC2,8,6144,2048,256,8,8,32,w8a8_dynamic,867.4428
moe_dispatch_combine,vllm_ascend_FusedMC2,12,6144,2048,256,8,8,32,bf16,1623.2640
moe_dispatch_combine,vllm_ascend_FusedMC2,12,6144,2048,256,8,8,32,w8a8_dynamic,918.7880
moe_dispatch_combine,vllm_ascend_FusedMC2,16,6144,2048,256,8,8,32,bf16,1627.0244
moe_dispatch_combine,vllm_ascend_FusedMC2,16,6144,2048,256,8,8,32,w8a8_dynamic,878.5808
moe_dispatch_combine,vllm_ascend_FusedMC2,24,6144,2048,256,8,8,32,bf16,1625.2489
moe_dispatch_combine,vllm_ascend_FusedMC2,24,6144,2048,256,8,8,32,w8a8_dynamic,883.6024
moe_dispatch_combine,vllm_ascend_FusedMC2,32,6144,2048,256,8,8,32,bf16,1634.3028
moe_dispatch_combine,vllm_ascend_FusedMC2,32,6144,2048,256,8,8,32,w8a8_dynamic,888.1636
moe_dispatch_combine,vllm_ascend_FusedMC2,48,6144,2048,256,8,8,32,bf16,1637.0052
moe_dispatch_combine,vllm_ascend_FusedMC2,48,6144,2048,256,8,8,32,w8a8_dynamic,901.9876
moe_dispatch_combine,vllm_ascend_FusedMC2,64,6144,2048,256,8,8,32,bf16,1650.0064
moe_dispatch_combine,vllm_ascend_FusedMC2,64,6144,2048,256,8,8,32,w8a8_dynamic,899.1508
moe_dispatch_combine,vllm_ascend_FusedMC2,96,6144,2048,256,8,8,32,bf16,1215.6632
moe_dispatch_combine,vllm_ascend_FusedMC2,96,6144,2048,256,8,8,32,w8a8_dynamic,693.8744
moe_dispatch_combine,vllm_ascend_FusedMC2,128,6144,2048,256,8,8,32,bf16,932.0000
moe_dispatch_combine,vllm_ascend_FusedMC2,128,6144,2048,256,8,8,32,w8a8_dynamic,560.3024
moe_dispatch_combine,vllm_ascend_FusedMC2,192,6144,2048,256,8,8,32,bf16,717.0012
moe_dispatch_combine,vllm_ascend_FusedMC2,192,6144,2048,256,8,8,32,w8a8_dynamic,457.3008
moe_dispatch_combine,vllm_ascend_FusedMC2,256,6144,2048,256,8,8,32,bf16,587.0896
moe_dispatch_combine,vllm_ascend_FusedMC2,256,6144,2048,256,8,8,32,w8a8_dynamic,404.8464
moe_dispatch_combine,vllm_ascend_FusedMC2,384,6144,2048,256,8,8,32,bf16,506.0360
moe_dispatch_combine,vllm_ascend_FusedMC2,384,6144,2048,256,8,8,32,w8a8_dynamic,393.2428
moe_dispatch_combine,vllm_ascend_FusedMC2,512,6144,2048,256,8,8,32,bf16,450.4252
moe_dispatch_combine,vllm_ascend_FusedMC2,512,6144,2048,256,8,8,32,w8a8_dynamic,389.7760
moe_dispatch_combine,vllm_ascend_FusedMC2,768,6144,2048,256,8,8,32,bf16,551.3052
