framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,40,4,128,1,float16,float16,0,1.32613
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,40,8,128,1,float16,float16,0,1.32898
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,64,0,128,1,float16,float16,0,2.15031
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,64,1,128,1,float16,float16,0,2.0093900000000002
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,64,4,128,1,float16,float16,0,2.11291
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,4096,64,8,128,1,float16,float16,0,2.12075
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,8,0,128,1,float16,float16,0,0.96836
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,8,1,128,1,float16,float16,0,0.89448
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,8,4,128,1,float16,float16,0,0.9678
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,8,0,128,1,float16,float16,0,0.97849
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,16,0,128,1,float16,float16,0,1.83601
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,16,1,128,1,float16,float16,0,1.74625
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,16,4,128,1,float16,float16,0,1.91635
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,16,8,128,1,float16,float16,0,1.92056
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,32,0,128,1,float16,float16,0,3.756
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,32,1,128,1,float16,float16,0,3.40511
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,32,4,128,1,float16,float16,0,3.75284
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,32,8,128,1,float16,float16,0,3.76886
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,40,0,128,1,float16,float16,0,4.749890000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,40,1,128,1,float16,float16,0,4.2859
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,40,4,128,1,float16,float16,0,4.72033
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,40,8,128,1,float16,float16,0,4.73808
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,64,0,128,1,float16,float16,0,7.55282
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,64,1,128,1,float16,float16,0,6.930680000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,64,4,128,1,float16,float16,0,7.625850000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,1,8192,64,8,128,1,float16,float16,0,7.678529999999999
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,8,0,128,1,float16,float16,0,0.052520000000000004
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,8,1,128,1,float16,float16,0,0.05076
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,8,4,128,1,float16,float16,0,0.05057
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,8,0,128,1,float16,float16,0,0.05212
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,16,0,128,1,float16,float16,0,0.055810000000000005
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,16,1,128,1,float16,float16,0,0.05705
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,16,4,128,1,float16,float16,0,0.0586
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,16,8,128,1,float16,float16,0,0.05651
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,32,0,128,1,float16,float16,0,0.06873
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,32,1,128,1,float16,float16,0,0.06523999999999999
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,32,4,128,1,float16,float16,0,0.06814
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,32,8,128,1,float16,float16,0,0.06723
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,40,0,128,1,float16,float16,0,0.07078
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,40,1,128,1,float16,float16,0,0.06772
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,40,4,128,1,float16,float16,0,0.07
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,40,8,128,1,float16,float16,0,0.07004
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,64,0,128,1,float16,float16,0,0.08305
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,64,1,128,1,float16,float16,0,0.07798000000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,64,4,128,1,float16,float16,0,0.08131000000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,128,64,8,128,1,float16,float16,0,0.07912999999999999
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,8,0,128,1,float16,float16,0,0.06342
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,8,1,128,1,float16,float16,0,0.06251
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,8,4,128,1,float16,float16,0,0.062009999999999996
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,8,0,128,1,float16,float16,0,0.06337
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,16,0,128,1,float16,float16,0,0.06679
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,16,1,128,1,float16,float16,0,0.06825
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,16,4,128,1,float16,float16,0,0.06896
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,16,8,128,1,float16,float16,0,0.06851
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,32,0,128,1,float16,float16,0,0.08782
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,32,1,128,1,float16,float16,0,0.0872
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,32,4,128,1,float16,float16,0,0.09058
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,32,8,128,1,float16,float16,0,0.08784
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,40,0,128,1,float16,float16,0,0.09423999999999999
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,40,1,128,1,float16,float16,0,0.09386
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,40,4,128,1,float16,float16,0,0.09874
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,40,8,128,1,float16,float16,0,0.09555
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,64,0,128,1,float16,float16,0,0.109
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,64,1,128,1,float16,float16,0,0.12073
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,64,4,128,1,float16,float16,0,0.12407
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,256,64,8,128,1,float16,float16,0,0.1217
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,8,0,128,1,float16,float16,0,0.08612
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,8,1,128,1,float16,float16,0,0.07046
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,8,4,128,1,float16,float16,0,0.07205
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,8,0,128,1,float16,float16,0,0.0874
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,16,0,128,1,float16,float16,0,0.10459
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,16,1,128,1,float16,float16,0,0.09983
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,16,4,128,1,float16,float16,0,0.09976
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,16,8,128,1,float16,float16,0,0.09947
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,32,0,128,1,float16,float16,0,0.14146
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,32,1,128,1,float16,float16,0,0.15203999999999998
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,32,4,128,1,float16,float16,0,0.15419
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,32,8,128,1,float16,float16,0,0.15453
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,40,0,128,1,float16,float16,0,0.16097
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,40,1,128,1,float16,float16,0,0.17441
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,40,4,128,1,float16,float16,0,0.17825
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,40,8,128,1,float16,float16,0,0.17668
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,64,0,128,1,float16,float16,0,0.21114
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,64,1,128,1,float16,float16,0,0.24446
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,64,4,128,1,float16,float16,0,0.24947
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,512,64,8,128,1,float16,float16,0,0.24534999999999998
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,1024,8,0,128,1,float16,float16,0,0.14952000000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,1024,8,1,128,1,float16,float16,0,0.11098000000000001
vllm-ascend,0.18.0,Ascend 910B,context_attention,vllm_ascend_flash_attn,2,1024,8,4,128,1,float16,float16,0,0.11203
