nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,16,4096,HCCL,all_to_all,0.01925
half,2,8192,HCCL,all_to_all,0.00729
half,4,8192,HCCL,all_to_all,0.01058
half,8,8192,HCCL,all_to_all,0.01623
half,16,8192,HCCL,all_to_all,0.01955
half,2,16384,HCCL,all_to_all,0.00717
half,4,16384,HCCL,all_to_all,0.01073
half,8,16384,HCCL,all_to_all,0.01597
half,16,16384,HCCL,all_to_all,0.01966
half,2,32768,HCCL,all_to_all,0.00722
half,4,32768,HCCL,all_to_all,0.01049
half,8,32768,HCCL,all_to_all,0.01579
half,16,32768,HCCL,all_to_all,0.01942
half,2,65536,HCCL,all_to_all,0.00727
half,4,65536,HCCL,all_to_all,0.01073
half,8,65536,HCCL,all_to_all,0.01587
half,16,65536,HCCL,all_to_all,0.01965
half,2,131072,HCCL,all_to_all,0.00766
half,4,131072,HCCL,all_to_all,0.01049
half,8,131072,HCCL,all_to_all,0.01583
half,16,131072,HCCL,all_to_all,0.01945
half,2,262144,HCCL,all_to_all,0.00861
half,4,262144,HCCL,all_to_all,0.01088
half,8,262144,HCCL,all_to_all,0.01624
half,16,262144,HCCL,all_to_all,0.01947
half,2,524288,HCCL,all_to_all,0.01035
half,4,524288,HCCL,all_to_all,0.01194
half,8,524288,HCCL,all_to_all,0.01597
half,16,524288,HCCL,all_to_all,0.01996
half,2,1048576,HCCL,all_to_all,0.01388
half,4,1048576,HCCL,all_to_all,0.01462
half,8,1048576,HCCL,all_to_all,0.0174
half,16,1048576,HCCL,all_to_all,0.02096
half,2,2097152,HCCL,all_to_all,0.02066
half,4,2097152,HCCL,all_to_all,0.01906
half,8,2097152,HCCL,all_to_all,0.02256
half,16,2097152,HCCL,all_to_all,0.02622
half,2,4194304,HCCL,all_to_all,0.03372
half,4,4194304,HCCL,all_to_all,0.03196
half,8,4194304,HCCL,all_to_all,0.03346
half,16,4194304,HCCL,all_to_all,0.03864
half,2,8388608,HCCL,all_to_all,0.05916
half,4,8388608,HCCL,all_to_all,0.04934
half,8,8388608,HCCL,all_to_all,0.0553
half,16,8388608,HCCL,all_to_all,0.0622
half,2,16777216,HCCL,all_to_all,0.11084
half,4,16777216,HCCL,all_to_all,0.089
half,8,16777216,HCCL,all_to_all,0.0984
half,16,16777216,HCCL,all_to_all,0.11246
half,2,33554432,HCCL,all_to_all,0.24455
half,4,33554432,HCCL,all_to_all,0.16878
half,8,33554432,HCCL,all_to_all,0.18508
half,16,33554432,HCCL,all_to_all,0.22574
half,2,67108864,HCCL,all_to_all,0.48451
half,4,67108864,HCCL,all_to_all,0.36583
half,8,67108864,HCCL,all_to_all,0.41153
half,16,67108864,HCCL,all_to_all,0.49949
half,2,134217728,HCCL,all_to_all,1.00372
half,4,134217728,HCCL,all_to_all,0.8378
half,8,134217728,HCCL,all_to_all,0.86766
half,16,134217728,HCCL,all_to_all,1.06176
half,2,268435456,HCCL,all_to_all,1.93698
half,4,268435456,HCCL,all_to_all,1.63663
half,8,268435456,HCCL,all_to_all,1.69877
