OP State,Accelerator Core,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Average Duration(us),Op Type,Batch,Seq Len,Num Heads,Num KV Heads,Head Size
dynamic,AI_CORE,"1,64,128;4,128,8192;4,128,8192",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,58.59,attention_generation,1,512,64,0,128
dynamic,AI_CORE,"1,64,128;4,128,128;4,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,59.83,attention_generation,1,512,64,1,128
dynamic,AI_CORE,"1,64,128;4,128,512;4,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,66.06,attention_generation,1,512,64,4,128
dynamic,AI_CORE,"1,64,128;4,128,1024;4,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,64,128",DT_BF16,ND,58.24,attention_generation,1,512,64,8,128
dynamic,AI_CORE,"1,8,128;8,128,1024;8,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,63.44,attention_generation,1,1024,8,0,128
dynamic,AI_CORE,"1,8,128;8,128,128;8,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,58.98,attention_generation,1,1024,8,1,128
dynamic,AI_CORE,"1,8,128;8,128,512;8,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,62.31,attention_generation,1,1024,8,4,128
dynamic,AI_CORE,"1,8,128;8,128,1024;8,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,8,128",DT_BF16,ND,62.80,attention_generation,1,1024,8,8,128
dynamic,AI_CORE,"1,16,128;8,128,2048;8,128,2048",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,63.08,attention_generation,1,1024,16,0,128
dynamic,AI_CORE,"1,16,128;8,128,128;8,128,128",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,64.58,attention_generation,1,1024,16,1,128
dynamic,AI_CORE,"1,16,128;8,128,512;8,128,512",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,62.45,attention_generation,1,1024,16,4,128
dynamic,AI_CORE,"1,16,128;8,128,1024;8,128,1024",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"1,16,128",DT_BF16,ND,60.91,attention_generation,1,1024,16,8,128
