framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,32,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.262848
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,64,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.299264
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,128,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.358950
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,256,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.491905
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,512,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,0.821168
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,1024,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,1.944779
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,1536,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,3.962220
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,2048,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,6.389171
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,3072,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,9.628526
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,4096,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,13.035997
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,6144,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,13.750510
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,8192,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,14.428589
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,10240,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,15.093126
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,12288,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,15.805765
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,16384,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,17.179675
vllm-ascend,0.18.0,Ascend 910B,dsa_context_module,vllm_ascend_mla,1,32768,4,w8a8_dynamic,float16,float16,DeepseekV32ForCausalLM,22.740085
