framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,gemm_type,mla_dtype,kv_cache_dtype,architecture,step,latency
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.332036
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.312525
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.265122
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.353780
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.284458
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,1.356104
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,64,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,1.766182
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.248010
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.296885
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.256088
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.272633
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.338620
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.269366
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.250935
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.209838
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.262239
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.245180
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.365521
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.380029
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.438670
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.708282
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,2.055450
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,128,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,2.947941
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.288493
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.257567
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.249621
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.444003
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.420583
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.304548
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.223815
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,256,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.219204
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.155105
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.167840
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.116690
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.110798
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,31,1.162470
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,63,1.254417
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,127,1.240592
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,255,1.247265
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,511,1.309058
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1023,1.244366
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,2047,1.240614
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,4095,1.261668
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,8191,1.197694
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,16383,1.212134
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,32767,1.190780
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,65535,1.147080
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,1,1,64,float16,float16,float16,DeepseekV32ForCausalLM,131071,1.124486
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,1,1.229292
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,3,1.337738
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,7,1.243899
vllm-ascend,0.18.0,Ascend 910B,dsa_generation_module,vllm_ascend_mla,2,1,64,float16,float16,float16,DeepseekV32ForCausalLM,15,1.417874
